code_institut|ANNEE|MOIS|CODE_INDICATEUR|LIBELLE_INDICATEUR|VALEUR|MOYENNE|QUARTILE_SUP
47510|2018|5|300_POURCENTAGE_CA_VENTE|% VENTE|21,8541302541322|26,78|31
47510|2018|5|350_POURCENTAGE_CA_VISAGE_CABINE|% REPRESENTATION VISAGE CABINE|25,6962823108278|24,98|30,74
47719|2018|5|400_CA_CABINE|CA CABINE|9837,6|9490,1|13734,12
47719|2018|5|200_PANIER_MOYEN|PANIER MOYEN|34,8774285714286|49,07|58,12
47719|2018|5|500_CA_PAR_CABINE|CA PAR CABINE|4918,8|4557,83|4722,99
47719|2018|5|360_CA_VISAGE_CABINE|CA VISAGE CABINE|1434,41|2354,7|3311,54
47719|2018|5|100_NB_NOUVEAUX_CLIENTS|NB NOUVEAUX CLIENTS|15|27,65|34,25
47719|2018|5|600_NB_SOINS_PAR_CABINE|NB SOINS PAR CABINE|285|189,66|238,75
47719|2018|5|300_POURCENTAGE_CA_VENTE|% VENTE|19,4108346781791|26,78|31
47719|2018|5|350_POURCENTAGE_CA_VISAGE_CABINE|% REPRESENTATION VISAGE CABINE|14,580893713914|24,98|30,74
48252|2018|5|400_CA_CABINE|CA CABINE|8285,51|8079,37|8866,76
48252|2018|5|200_PANIER_MOYEN|PANIER MOYEN|60,87|45,7|55,26
48252|2018|5|500_CA_PAR_CABINE|CA PAR CABINE|4142,755|3193,77|4433,38
48252|2018|5|360_CA_VISAGE_CABINE|CA VISAGE CABINE|2138,21|1642,54|2260,35
48252|2018|5|100_NB_NOUVEAUX_CLIENTS|NB NOUVEAUX CLIENTS|29|28,7|29
48252|2018|5|600_NB_SOINS_PAR_CABINE|NB SOINS PAR CABINE|160,5|150,13|174,75
48252|2018|5|300_POURCENTAGE_CA_VENTE|% VENTE|38,9604840426668|28,04|31,66
48252|2018|5|350_POURCENTAGE_CA_VISAGE_CABINE|% REPRESENTATION VISAGE CABINE|25,8066190252622|20,49|25,46
48712|2018|5|400_CA_CABINE|CA CABINE|7738,2|9490,1|13734,12
48712|2018|5|200_PANIER_MOYEN|PANIER MOYEN|33,0956666666667|49,07|58,12
48712|2018|5|500_CA_PAR_CABINE|CA PAR CABINE|3869,1|4557,83|4722,99
48712|2018|5|360_CA_VISAGE_CABINE|CA VISAGE CABINE|1700,2|2354,7|3311,54
48712|2018|5|100_NB_NOUVEAUX_CLIENTS|NB NOUVEAUX CLIENTS|21|27,65|34,25
48712|2018|5|600_NB_SOINS_PAR_CABINE|NB SOINS PAR CABINE|194|189,66|238,75
48712|2018|5|300_POURCENTAGE_CA_VENTE|% VENTE|22,0623042291539|26,78|31
48712|2018|5|350_POURCENTAGE_CA_VISAGE_CABINE|% REPRESENTATION VISAGE CABINE|21,971517924065|24,98|30,74
49361|2018|5|400_CA_CABINE|CA CABINE|13652,82|9490,1|13734,12
49361|2018|5|200_PANIER_MOYEN|PANIER MOYEN|57,5890144927536|49,07|58,12
49361|2018|5|500_CA_PAR_CABINE|CA PAR CABINE|4550,94|4557,83|4722,99
49361|2018|5|360_CA_VISAGE_CABINE|CA VISAGE CABINE|5077,92|2354,7|3311,54
49361|2018|5|100_NB_NOUVEAUX_CLIENTS|NB NOUVEAUX CLIENTS|33|27,65|34,25
49361|2018|5|600_NB_SOINS_PAR_CABINE|NB SOINS PAR CABINE|177|189,66|238,75
49361|2018|5|300_POURCENTAGE_CA_VENTE|% VENTE|31,2830899210347|26,78|31
